,Name,Matlabel,Fish,Date,Time
0,180711_111528,0,0,2018:07:11,10:15:38
1,180711_111533,0,0,2018:07:11,10:15:44
2,180711_111541,0,0,2018:07:11,10:15:52
3,180711_111550,0,0,2018:07:11,10:16:00
4,180711_111556,0,0,2018:07:11,10:16:06
5,180711_111601,0,0,2018:07:11,10:16:12
6,180711_111607,0,0,2018:07:11,10:16:18
7,180711_112503,0,0,2018:07:11,10:25:13
8,180711_112509,0,0,2018:07:11,10:25:20
9,180711_112516,0,0,2018:07:11,10:25:27
10,180711_112523,0,0,2018:07:11,10:25:33
11,180711_112530,0,0,2018:07:11,10:25:41
12,180711_112536,0,0,2018:07:11,10:25:47
13,180711_112542,0,0,2018:07:11,10:25:53
14,180711_112653,1,1,2018:07:11,10:25:58
15,180711_112659,1,1,2018:07:11,10:27:09
16,180711_112704,1,1,2018:07:11,10:27:15
17,180711_112710,1,1,2018:07:11,10:27:20
18,180711_112718,0,0,2018:07:11,10:27:29
19,180711_112724,0,0,2018:07:11,10:27:35
20,180711_112732,0,0,2018:07:11,10:27:43
21,180711_112742,0,0,2018:07:11,10:27:52
22,180711_112749,0,0,2018:07:11,10:28:00
23,180711_112755,0,0,2018:07:11,10:28:06
24,180711_112803,0,0,2018:07:11,10:28:14
25,180711_113703,1,1,2018:07:11,10:37:13
26,180711_113708,0,0,2018:07:11,10:37:19
27,180711_113714,0,0,2018:07:11,10:37:24
28,180711_113722,1,1,2018:07:11,10:37:33
29,180711_113728,0,0,2018:07:11,10:37:38
30,180711_113735,1,6,2018:07:11,10:37:46
31,180711_113742,1,5,2018:07:11,10:37:52
32,180711_113747,0,0,2018:07:11,10:37:58
33,180711_113753,0,0,2018:07:11,10:38:04
34,180711_113801,0,0,2018:07:11,10:38:12
35,180711_113808,0,0,2018:07:11,10:38:19
36,180711_113815,0,0,2018:07:11,10:38:26
37,180711_113857,1,1,2018:07:11,10:39:08
38,180711_113904,1,1,2018:07:11,10:39:14
39,180711_113909,0,0,2018:07:11,10:39:20
40,180711_113919,0,0,2018:07:11,10:39:29
41,180711_113925,0,0,2018:07:11,10:39:35
42,180711_113934,1,1,2018:07:11,10:39:44
43,180711_113939,1,1,2018:07:11,10:39:50
44,180711_113947,0,0,2018:07:11,10:39:57
45,180711_113954,0,0,2018:07:11,10:40:05
